head,edge,mean_light,mean_heavy_slice,mean_abs_diff,max_abs_diff,count
20,R1->S,0.09852139067416098,0.09805323738677829,0.0007365015791911712,0.0024814114851110097,12
20,R1->X,0.27774909051025615,0.2771361896804735,0.0006784863916098026,0.0020180870504941106,12
20,S->P,0.1934058021242712,0.1934058021242712,0.0,0.0,12
20,S->R1,0.08392892924009586,0.08392892924009586,0.0,0.0,12
20,S->S,0.5316643557127784,0.5316643557127784,0.0,0.0,12
20,S->X,0.24271854290775227,0.24271854290775227,0.0,0.0,12
20,X->P,0.4302410402645667,0.4302410402645667,0.0,0.0,12
20,X->R1,0.030910595203749835,0.030910595203749835,0.0,0.0,12
20,X->S,0.05119688382061819,0.05119688382061819,0.0,0.0,12
20,X->X,0.509223032121857,0.509223032121857,0.0,0.0,12
