layer,edge,mean,std,max
15,S->S,0.6576648676293153,0.23803403275331952,0.9675777659696692
15,R1->R1,0.6559122191215097,0.2594479275060751,0.9693361170151654
15,P->P,0.7106684061720789,0.25273911720295505,0.9838089942932129
16,X->S,0.11014050274111685,0.06017362834426582,0.2816369831562042
16,X->R1,0.23633620128358807,0.19546537072813577,0.7961723804473877
16,X->P,0.261882787950093,0.206199788711106,0.8821797966957092
16,S->R1,0.12114467360183638,0.05278725198534539,0.36698145024916706
16,R1->S,0.08635434204143803,0.04255578251498835,0.30174847210154815
16,S->X,0.06796216354144512,0.036724498741046836,0.25963575699750113
16,R1->X,0.0635904629253528,0.07072576245223895,0.44712361167458925
16,X->X,0.4226990405170779,0.22369451524445041,0.976958692073822
16,S->S,0.7570029822300796,0.17180335788451886,0.9679906508501839
16,R1->R1,0.7710782838594011,0.19556394520848205,0.9784483068129596
16,P->P,0.7016065303413641,0.24643846496277821,0.9923357367515564
17,X->S,0.08861784968065053,0.050336285361201806,0.24952580034732819
17,X->R1,0.14097141497491283,0.17067298391866145,0.7361953258514404
17,X->P,0.20198966839095756,0.15554596260617312,0.8645683526992798
17,S->R1,0.13126802131506232,0.08439113189187447,0.4669486494625316
17,R1->S,0.08041769390868414,0.03785693017175091,0.25253744686351104
17,S->X,0.10633793108801798,0.05116553158692534,0.3018956464879653
17,R1->X,0.0973075577123932,0.07511697789474446,0.4017447864308077
17,X->X,0.606038200181155,0.2473179167372059,0.96916663646698
17,S->S,0.6111389094965626,0.25954905552404667,0.9392119014964384
17,R1->R1,0.655389649193494,0.28240120366409466,0.9709324556238511
17,P->P,0.6786794778114805,0.26491290784049526,0.9933910965919495
18,X->S,0.08938229169940487,0.05076360200543025,0.21939951181411743
18,X->R1,0.16667510127964696,0.1570103037327766,0.6958324909210205
18,X->P,0.33242752011089277,0.17817251073560908,0.7836867570877075
18,S->R1,0.10790272247168844,0.0661216490841718,0.3401785457835478
18,R1->S,0.08092013926242664,0.03536642212905348,0.17082037645227768
18,S->X,0.1395586406921639,0.07910053197105613,0.40583644193761487
18,R1->X,0.18418788507382494,0.12991685679276968,0.48435317768770103
18,X->X,0.43935817176298725,0.19372317546042397,0.8504704236984253
18,S->S,0.5487104391950478,0.24400915948637675,0.8984104044297162
18,R1->R1,0.5090741787043188,0.3069041324126976,0.9667215908274931
18,P->P,0.5273068250334334,0.2519502097082409,0.9790477752685547
19,X->S,0.0976523510069542,0.06300983549468885,0.2861085534095764
19,X->R1,0.17515977245160944,0.18900931540265137,0.8112881183624268
19,X->P,0.31138576737551676,0.23268885003257894,0.8712989091873169
19,S->R1,0.09004392365452832,0.04861914882447548,0.2952094078063965
19,R1->S,0.08485340650248177,0.03502704114505394,0.17672332595376408
19,S->X,0.1049106297649297,0.054574114147912,0.3352246564977309
19,R1->X,0.167314866720764,0.1574876472020317,0.7349128162159639
19,X->X,0.44691732463737327,0.24009606129312852,0.8993688821792603
19,S->S,0.599678410577173,0.2598152731868784,0.9134595534380745
19,R1->R1,0.552468988297022,0.3171790923866329,0.9726273031795726
19,P->P,0.7052819875867239,0.22199280279205863,0.9908078908920288
20,X->S,0.08872893721508306,0.055569382298082566,0.26246529817581177
