step,layer,head,edge,light,heavy_slice,abs_diff,rel_diff
14,24,4,X->S,0.05442679300904274,0.05442679300904274,0.0,0.0
14,24,4,X->X,0.583228588104248,0.583228588104248,0.0,0.0
14,24,8,P->P,0.15031255781650543,0.15031255781650543,0.0,0.0
14,24,8,P->R1,0.11621791124343872,0.11621791124343872,0.0,0.0
14,24,8,P->S,0.11395034193992615,0.11395034193992615,0.0,0.0
14,24,8,P->X,0.6595481038093567,0.6595481038093567,0.0,0.0
14,24,8,R1->P,0.521116200615378,0.5223144082462087,0.0011982076308306722,0.0022993098840829117
14,24,8,R1->R1,0.08944094181060791,0.08826611322515152,0.0011748285854563945,0.013135243901435048
14,24,8,R1->S,0.13994623632992015,0.1388983305762796,0.0010479057536405545,0.0074879166537222186
14,24,8,R1->X,0.2754668628468233,0.2765171948601218,0.0010503320132984606,0.003812916016263308
14,24,8,S->P,0.22579358605777516,0.22579358605777516,0.0,0.0
14,24,8,S->R1,0.13948823423946605,0.13948823423946605,0.0,0.0
14,24,8,S->S,0.5259388755349552,0.5259388755349552,0.0,0.0
14,24,8,S->X,0.1491212564356187,0.1491212564356187,0.0,0.0
14,24,8,X->P,0.5482132434844971,0.5482132434844971,0.0,0.0
14,24,8,X->R1,0.007149927318096161,0.007149927318096161,0.0,0.0
14,24,8,X->S,0.029343439266085625,0.029343439266085625,0.0,0.0
14,24,8,X->X,0.4352772831916809,0.4352772831916809,0.0,0.0
14,24,12,P->P,0.16656014323234558,0.16656014323234558,0.0,0.0
14,24,12,P->R1,0.05670001357793808,0.05670001357793808,0.0,0.0
14,24,12,P->S,0.061222851276397705,0.061222851276397705,0.0,0.0
14,24,12,P->X,0.7488300800323486,0.7488300800323486,0.0,0.0
14,24,12,R1->P,0.06498437068041633,0.06491358841166776,7.078226874857041e-05,0.001089219884834575
14,24,12,R1->R1,0.3526923796709846,0.35271229463465076,1.9914963666156638e-05,5.646553431274775e-05
14,24,12,R1->S,0.1196904743418974,0.1199967440436868,0.00030626970178940227,0.0025588477568777852
14,24,12,R1->X,0.5198810801786535,0.5199753256405101,9.424546185654581e-05,0.00018128273070479697
14,24,12,S->P,0.07322895526885986,0.07322895526885986,0.0,0.0
14,24,12,S->R1,0.2677079369040096,0.2677079369040096,0.0,0.0
14,24,12,S->S,0.2793705884148093,0.2793705884148093,0.0,0.0
14,24,12,S->X,0.4398103882284725,0.4398103882284725,0.0,0.0
14,24,12,X->P,0.12224827706813812,0.12224827706813812,0.0,0.0
14,24,12,X->R1,0.018513889983296394,0.018513889983296394,0.0,0.0
14,24,12,X->S,0.05780414864420891,0.05780414864420891,0.0,0.0
14,24,12,X->X,0.8538174629211426,0.8538174629211426,0.0,0.0
14,24,16,P->P,0.056336529552936554,0.056336529552936554,0.0,0.0
14,24,16,P->R1,0.271145761013031,0.271145761013031,0.0,0.0
14,24,16,P->S,0.20325106382369995,0.20325106382369995,0.0,0.0
14,24,16,P->X,0.4918285012245178,0.4918285012245178,0.0,0.0
14,24,16,R1->P,0.00325293729410452,0.0032886111122720383,3.56738181675185e-05,0.01096664796833685
14,24,16,R1->R1,0.3281108070822323,0.32770782358506145,0.00040298349717082793,0.0012281933068721835
14,24,16,R1->S,0.11267876625061035,0.11314618587493896,0.0004674196243286133,0.004148249398551445
14,24,16,R1->X,0.6296486013075885,0.6300343345193302,0.00038573321174173447,0.0006126166419502624
14,24,16,S->P,0.0015045145855230443,0.0015045145855230443,0.0,0.0
14,24,16,S->R1,0.11196636452394373,0.11196636452394373,0.0,0.0
14,24,16,S->S,0.541936481700224,0.541936481700224,0.0,0.0
14,24,16,S->X,0.4254131036646226,0.4254131036646226,0.0,0.0
