name,edge,step,layer,head,entropy,top16_block_mass,segment_mass,max_block_value,mean_block_value,num_blocks_above_01,num_blocks_above_02
ref_transfer_light,X->R1,6,14,12,0.31280327509784756,12.761621475219727,0.6935251951217651,0.7108207941055298,0.040795598179101944,29,26
ref_transfer_light,X->R1,7,14,12,0.30958071696094186,12.783638954162598,0.6940443515777588,0.7042995691299438,0.040826138108968735,29,26
ref_transfer_light,X->R1,8,14,12,0.31261281692600096,12.699872016906738,0.6991577744483948,0.6997182369232178,0.041126929223537445,29,26
ref_transfer_light,X->R1,9,14,12,0.313284258019138,12.654841423034668,0.7019906044006348,0.6982904076576233,0.041293565183877945,29,26
ref_transfer_light,X->R1,10,14,12,0.3179137649996487,12.452077865600586,0.7042890787124634,0.6948872208595276,0.04142877086997032,29,26
ref_transfer_light,X->R1,11,14,12,0.3225126548910422,12.264960289001465,0.7046046853065491,0.6930083632469177,0.04144733399152756,30,26
ref_transfer_light,X->R1,12,14,12,0.32306180951367836,12.137626647949219,0.7016689777374268,0.6888543963432312,0.04127464443445206,30,26
ref_transfer_light,X->R1,13,14,12,0.3288937662825188,11.859823226928711,0.7013282775878906,0.6849589347839355,0.04125460609793663,30,26
ref_transfer_light,X->R1,14,14,12,0.3316875225188567,11.665667533874512,0.6986259818077087,0.6817810535430908,0.04109564423561096,30,26
ref_transfer_light,X->R1,15,14,12,0.34079157931559795,11.290792465209961,0.6965013742446899,0.6758914589881897,0.04097066819667816,30,26
ref_transfer_light,X->R1,16,14,12,0.3493571813011297,10.867656707763672,0.6953519582748413,0.6699119210243225,0.040903057903051376,30,26
ref_transfer_light,X->R1,17,14,12,0.35693386596859394,10.552811622619629,0.6902962923049927,0.6657070517539978,0.04060566425323486,30,26
ref_transfer_light,X->R1,18,14,12,0.37054470499130093,10.049360275268555,0.6826932430267334,0.6570407152175903,0.04015842452645302,30,26
ref_transfer_light,X->R1,19,14,12,0.38327670209660675,9.625638961791992,0.6750485897064209,0.6471130847930908,0.03970874100923538,30,26
ref_transfer_light,X->R1,20,14,12,0.3894043580668785,9.527992248535156,0.6743268370628357,0.6440229415893555,0.03966628387570381,30,26
ref_transfer_light,X->R1,21,14,12,0.3999442568281536,9.135351181030273,0.6639240384101868,0.6319267153739929,0.03905435651540756,30,26
ref_transfer_light,X->R1,22,14,12,0.40510117567063425,8.936956405639648,0.6626416444778442,0.6229779720306396,0.03897891938686371,30,26
ref_transfer_light,X->R1,23,14,12,0.41313574730788183,8.672581672668457,0.6474866271018982,0.6027588248252869,0.038087449967861176,29,26
ref_transfer_light,X->R1,24,14,12,0.41647548930061595,8.649971008300781,0.641506552696228,0.5894900560379028,0.037735678255558014,29,26
ref_transfer_light,X->R1,25,14,12,0.4156209029214516,8.736026763916016,0.6349287033081055,0.5789173245429993,0.03734874725341797,29,25
ref_transfer_light,X->R1,26,14,12,0.40952242207178124,8.978201866149902,0.6258413791656494,0.56745445728302,0.03681419789791107,29,25
ref_transfer_light,X->R1,27,14,12,0.40418891539094515,8.665290832519531,0.5826499462127686,0.5462886095046997,0.034273527562618256,29,24
ref_transfer_double,X->R1,0,4,4,0.42361392304054163,11.922088623046875,0.4322943091392517,0.4060673713684082,0.025429077446460724,20,7
ref_transfer_double,X->R1,1,4,4,0.41797139872387135,12.166743278503418,0.459913969039917,0.43998026847839355,0.02705376222729683,22,7
ref_transfer_double,X->R1,2,4,4,0.4156080009906302,12.290882110595703,0.49351805448532104,0.46933794021606445,0.02903047390282154,26,8
ref_transfer_double,X->R1,3,4,4,0.4113366658192418,12.409050941467285,0.5112771987915039,0.46725690364837646,0.030075129121541977,30,9
ref_transfer_double,X->R1,4,4,4,0.4069889143409029,12.55689811706543,0.5094287395477295,0.4319518804550171,0.02996639721095562,29,8
ref_transfer_double,X->R1,5,4,4,0.3993620793305753,12.649286270141602,0.5412852764129639,0.439471960067749,0.031840309500694275,31,11
ref_transfer_double,X->R1,6,4,4,0.39195930363194775,12.750312805175781,0.5516395568847656,0.44346025586128235,0.0324493870139122,31,11
ref_transfer_double,X->R1,7,4,4,0.3822995941198431,12.830282211303711,0.5790144205093384,0.4687040448188782,0.03405967354774475,31,14
